bucket,dept,equip_no,name,hierarchy_path,display_label
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Steam Drum Safety Valves-2,Steam Drum Safety Valves-2
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Steam Piping,Steam Piping
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Superheater Tubes (FSH),Superheater Tubes (FSH)
new_only,,,,Power Plant > 70TPH BLR > Pressure Parts > Superheater Tubes (PSH),Superheater Tubes (PSH)
new_only,,,,Power Plant > WTP > Chemical Storage > Caustic Soda Lye Tank,Caustic Soda Lye Tank
new_only,,,,Power Plant > WTP > Chemical Storage > H2SO4 Tank,H2SO4 Tank
new_only,,,,Power Plant > WTP > Chemical Storage > HCL Tank,HCL Tank
new_only,,,,Power Plant > WTP > Chemical Unloading > Caustic Soda Lye,Caustic Soda Lye
new_only,,,,Power Plant > WTP > CPU > Activated Carbon Filter,Activated Carbon Filter
new_only,,,,Power Plant > WTP > CPU > Air Blower-1,Air Blower-1
new_only,,,,Power Plant > WTP > CPU > Air Blower-2,Air Blower-2
new_only,,,,Power Plant > WTP > CPU > Air Blower-3,Air Blower-3
new_only,,,,Power Plant > WTP > CPU > Air Compressor,Air Compressor
new_only,,,,Power Plant > WTP > CPU > Anti Scalent Dosing System,Anti Scalent Dosing System
new_only,,,,Power Plant > WTP > CPU > Caustic Dosing System,Caustic Dosing System
new_only,,,,Power Plant > WTP > CPU > CPU Feed Pump-01,CPU Feed Pump-01
new_only,,,,Power Plant > WTP > CPU > CPU Feed Pump-02,CPU Feed Pump-02
new_only,,,,Power Plant > WTP > CPU > CPU RO System,CPU RO System
new_only,,,,Power Plant > WTP > CPU > CT Fan,CT Fan
new_only,,,,Power Plant > WTP > CPU > Filter Feed Pump-1,Filter Feed Pump-1
new_only,,,,Power Plant > WTP > CPU > Filter Feed Pump-2,Filter Feed Pump-2
new_only,,,,Power Plant > WTP > CPU > HCL Dosing System,HCL Dosing System
new_only,,,,Power Plant > WTP > CPU > Hypo Dosing System,Hypo Dosing System
new_only,,,,Power Plant > WTP > CPU > Iron Removal Filter,Iron Removal Filter
new_only,,,,Power Plant > WTP > CPU > Multi Grade Filter,Multi Grade Filter
new_only,,,,Power Plant > WTP > CPU > Poly Dosing System,Poly Dosing System
new_only,,,,Power Plant > WTP > CPU > RO Feed Pump-01,RO Feed Pump-01
new_only,,,,Power Plant > WTP > CPU > RO Feed Pump-02,RO Feed Pump-02
new_only,,,,Power Plant > WTP > CPU > Sludge Pump-1,Sludge Pump-1
new_only,,,,Power Plant > WTP > CPU > Sludge Pump-2,Sludge Pump-2
new_only,,,,Power Plant > WTP > CPU > SMBS Dosing System,SMBS Dosing System
new_only,,,,Power Plant > WTP > CPU > UF Back Wash Pump-01,UF Back Wash Pump-01
new_only,,,,Power Plant > WTP > CPU > UF Back Wash Pump-02,UF Back Wash Pump-02
new_only,,,,Power Plant > WTP > CPU > UF Feed Pump-01,UF Feed Pump-01
new_only,,,,Power Plant > WTP > CPU > UF Feed Pump-02,UF Feed Pump-02
new_only,,,,Power Plant > WTP > CPU > Ultra Filtration System,Ultra Filtration System
new_only,,,,Power Plant > WTP > DM Plant > MB,MB
new_only,,,,Power Plant > WTP > DM Plant > Pumps,Pumps
new_only,,,,Power Plant > WTP > DM Plant > SAC,SAC
