"Date";"Shift";"Sampling_time";"CJ_Pol";"CJ_Brix";"FJ_Pol";"FJ_Brix";"UtrSyrp_Pol";"UtrSyrp_Brix";"RawMc_Pol";"RawMc_Brix";"R1Mc_Pol";"R1Mc_Brix";"R2Mc_Pol";"R2Mc_Brix";"BMc_Pol";"BMc_Brix";"CMc_Pol";"CMc_Brix";"AH_Mol_Pol";"AH_Mol_Brix";"AL_Mol_Pol";"AL_Mol_Brix";"R1_Mol_Pol";"R1_Mol_Brix";"R2_Mol_Pol";"R2_Mol_Brix";"BH_Mol_Pol";"BH_Mol_Brix";"CL_Mol_Pol";"CL_Mol_Brix";"FMol_Pol";"FMol_Brix";"FCake_Pol";"op_mode";"R1Mc_IU";"R2Mc_IU";"R1Mol_IU";"R2Mol_IU";"RawMlt_Pol";"RawMlt_Brix";"RawMlt_IU";"ClearMlt_Pol";"ClearMlt_Brix";"ClearMlt_IU";"Pol_FineLiqourMelt";"Brix_FineLiqourMelt";"IU_FineLiqourMelt";"IERInlet_IU";"IERInlet_PH";"IEROutlet_IU";"IEROutlet_PH";"timestamp"
"2023-12-15";"B";"11-12 AM";10.85;13.59;9.47;12.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-15 23:53:30"
"2023-12-15";"C";"1-2 AM";10.82;13.59;9.47;12.39;55.0;69.3;81.5;91.1;88.0;89.3;0.0;0.0;69.1;92.7;49.5;93.6;59.4;76.6;60.1;63.6;69.2;73.2;0.0;0.0;41.9;84.7;44.6;72.6;29.7;87.3;1.95;"C Heavy";0.0;0.0;0.0;0.0;48.3;49.2;613.0;58.3;59.2;429.0;58.7;59.2;178.0;0.0;0.0;0.0;0.0;"2023-12-16 07:11:01"
"2023-12-15";"C";"3-4 AM";10.72;13.42;9.35;12.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-16 07:12:09"
"2023-12-15";"C";"5-6 AM";10.77;13.46;9.47;12.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.2;89.1;1.98;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-16 07:14:18"
"2023-12-15";"C";"7-8 AM";11.15;13.52;9.4;12.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-16 09:32:05"
"2023-12-16";"A";"9-10 AM";10.9;13.59;8.77;11.37;56.85;71.7;76.9;91.0;89.6;90.0;0.0;0.0;66.95;92.3;48.95;95.6;57.8;79.3;59.6;63.2;70.6;72.2;0.0;0.0;40.6;84.3;47.7;77.2;29.6;87.7;1.86;"C Heavy";579.0;0.0;0.0;0.0;62.45;63.6;598.0;59.4;60.2;387.0;58.9;59.2;151.0;0.0;0.0;0.0;0.0;"2023-12-16 15:48:06"
"2023-12-16";"A";"11-12 AM";10.93;13.67;8.76;11.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-16 15:48:50"
"2023-12-16";"A";"1-2 PM";11.02;13.84;9.5;12.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.2;89.3;1.9;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-16 15:50:06"
"2023-12-16";"A";"3-4 PM";10.75;11.36;9.31;12.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-16 15:51:04"
"2023-12-16";"B";"6-7 PM";11.05;13.79;9.69;12.59;59.05;73.2;77.6;90.3;87.4;88.6;0.0;0.0;67.7;92.8;48.4;93.0;58.1;78.3;60.9;64.8;68.4;69.8;0.0;0.0;41.3;85.3;47.6;76.8;30.2;89.6;1.87;"C Heavy";398.0;0.0;0.0;0.0;62.9;64.2;743.0;60.9;61.8;501.0;57.5;57.8;184.0;0.0;0.0;0.0;0.0;"2023-12-16 22:30:19"
"2023-12-16";"C";"2-3 AM";10.89;13.61;9.12;11.87;57.22;71.94;79.5;91.4;88.8;89.7;0.0;0.0;67.9;93.1;48.4;94.0;57.7;79.1;60.3;64.1;72.5;74.7;0.0;0.0;40.6;86.1;47.3;76.3;30.2;88.7;1.89;"C Heavy";356.0;0.0;0.0;0.0;61.7;62.8;782.0;61.1;62.0;498.0;59.0;59.3;99.49;0.0;0.0;0.0;0.0;"2023-12-17 07:20:18"
"2023-12-17";"A";"9-10 AM";10.93;13.67;9.11;11.93;57.95;73.7;78.7;91.1;88.8;90.1;0.0;0.0;66.8;93.1;48.7;95.1;54.5;75.6;57.7;63.2;69.25;70.8;0.0;0.0;40.6;83.3;47.7;75.8;29.2;87.3;1.96;"C Heavy";0.0;0.0;0.0;0.0;63.5;64.6;788.0;61.3;62.2;472.0;59.75;60.2;293.0;0.0;0.0;0.0;0.0;"2023-12-17 15:47:48"
"2023-12-17";"A";"11-12 AM";10.72;13.36;9.31;12.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-17 15:48:32"
